Works / Goods,Region,Location,Sector,Project,Funding Stage,Amount,Expenditure,Initial Phase Status,Procurement Phase Status,Contract Signing, Implementation Phase Status,Site handover date,Start Date,Actual completion date,Overall Status ,Type,Project ID,Latitude,Longitude,Donor,Implementation_duration
Goods ,West,Sirt,Solid Waste Management,Supply of Garbage Trucks,Phase 1,592330.7558,592588.3309,Completed,PO + Contract issuance done,10/1/2017,Substantial completion / handover done,,,7/24/2018,Completed,Garbage truck,98720,31.21031389,16.49231667,EU,296
Goods ,West,Sirt,Solid Waste Management,Supply of Garbage Trucks,Phase 1,885386.3895,0,To be initiated,,,,,,,In Development,Truck,,,,,
Goods ,West,Sirt,Solid Waste Management,Supply of Garbage Trucks,Phase 1,505202.5674,0,To be initiated,,,,,,,In Development,Garbage truck,,,,,
Goods ,West,Sirt,Solid Waste Management,Supply of Garbage Trucks,Phase 1,794730.1535,0,To be initiated,,,,,,,In Development,Truck,,,,,
Goods ,West,Sirt,Solid Waste Management,Supply of Garbage Bins,Phase 1,48357.86747,48357.86747,Completed,PO + Contract issuance done,10/1/2017,Substantial completion / handover done,,,7/26/2018,Completed,Garbage Bin,98720,31.20963056,16.49245833,EU,298
Goods ,West,Sirt,Solid Waste Management,Supply of Garbage Bins,Phase 1,26331.57025,0,To be initiated,,,,,,,In Development,Garbage Bin,,,,,
Goods ,West,Sirt,WASH,Supply of Sewage Suction Trucks,Phase 1,222241.0919,0,To be initiated,,,,,,,In Development,Sewage suction truck,,,,,
Works ,West,Sirt,Health ,Rehabilitation of Clinic,Phase 1,83941.10891,83941.10891,Completed,PO + Contract issuance done,3/29/2018,Substantial completion / handover done,4/9/2018 0:00,4/16/2018 0:00,8/28/2018,Completed,Clinic,98720,31.19804444,16.57596667,EU,152
Goods ,West,Sirt,Health ,Supply of Freezers,Phase 1,48281.9072,48281.9072,Completed,PO + Contract issuance done,10/10/2020,Substantial completion / handover done,10/22/2020 0:00,10/28/2020 0:00,3/28/2021,Completed,Other health building,98720,31.18397222,16.58197222,France,169
Goods ,West,Sirt,Health ,Supply of Ambulances,Phase 1,85445.31437,93101.98422,Completed,PO + Contract issuance done,2/1/2017,Substantial completion / handover done,,,12/31/2017,Completed,Ambulance,98720,31.18756111,16.58971389,South Korea,333
Works ,West,Sirt,Health ,Rehabilitation of Clinic,Phase 1,49276.89368,0,BOQ development stage,,,,,,,In Development,Clinic,,,,,
Works ,West,Sirt,Health ,Rehabilitation of Clinic,Phase 1,39032.82041,39032.82041,Completed,PO + Contract issuance done,8/5/2019,Substantial completion / handover done,9/3/2019 0:00,,3/22/2020,Completed,Clinic,112158,31.20830278,16.57111944,South Korea,230
Works ,West,Sirt,Health ,Rehabilitation of Clinic,Phase 1,18984.60695,18984.60695,Completed,PO + Contract issuance done,12/7/2018,Substantial completion / handover done,1/3/2019 0:00,1/10/2019 0:00,3/31/2019,Completed,Clinic,98720,31.17541389,16.59437222,Japan,114
Works ,West,Sirt,Health ,Rehabilitation of Clinic,Phase 1,23862.10055,23862.10055,Completed,PO + Contract issuance done,7/5/2019,Substantial completion / handover done,,,10/28/2019,Completed,Clinic,112158,31.20894167,16.55962778,Germany,115
Works ,West,Sirt,Health ,Rehabilitation of Clinic,Phase 1,18463.30323,18562.78854,Completed,PO + Contract issuance done,11/13/2018,Substantial completion / handover done,11/30/2018 0:00,12/7/2018 0:00,3/15/2019,Completed,Clinic,112158,31.18865,16.41727778,EU,122
Works ,West,Sirt,Education ,Rehabilitation of School,Phase 1,89867.9497,88825.0129,Completed,PO + Contract issuance done,11/11/2017,Substantial completion / handover done,11/20/2017 0:00,11/27/2017 0:00,2/5/2018,Completed,School,98720,31.20788611,16.57279167,Germany,86
